,Album,Song,Link,lyrics
10,Sorry (Latino Remix) (2016),Sorry (Latino Remix),https://lyrics.az/justin-bieber/sorry-latino-remix/sorry-latino-remix.html,"[Letras]
[Verse 1: Justin Bieber]
You gotta go and get angry at all of my honesty
You know I try but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
By once or twice I mean maybe a couple a hundred times
So let me, oh let me redeem, oh redeem, oh myself tonight
Cause I just need one more shot at second chances
[Pre-Chorus 1: Justin Bieber]
Yeah, is it too late now to say sorry?
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?
[Chorus 1: Justin Bieber (J Balvin)]
I'm sorry, yeah
Sorry, yeah
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
(JB and JB
Latino Remix
Leggo)
[Verse 2: J Balvin]
Quisiera regresar el tiempo y cambiar errores
Se que todo fue mi culpa y te cause dolores



Espero que de volver tu tengas intenciones
Por que hoy estoy aquÃ­ extraÃ±Ã¡ndote
Okay, tu por mi morias ma'
No solo fÃ­sica, habÃ­a quÃ­mica
Yo te llamaba y no querias contestar
Se que fui tonto y no te supe valorar
Entiende mi estilo de vida
Por favor comprende que esto no paso de repente
Si esta mi manos no lo dejo a la suerte
[Pre-Chorus 2: J Balvin]
Solo espero que me perdones
Nena, tengo tantas ganas de amarte
Solo quiero que me perdones
Si tu y yo no podemos estar
Olvida todo, no voy a fallar
[Bridge: Justin Bieber]
I'm not just trying to get you back on me
Cause I'm missing more than just your body
Is it too late now to say sorry?
Yeah I know that I let you down
Is it too late to say I'm sorry now?
[Chorus 2: Justin Bieber]
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah I know that I let you down
Is it too late to say I'm sorry now?"
11,We Know The DJ Radio 3 (2016),The Intro,https://lyrics.az/justin-bieber/we-know-the-dj-radio-3/the-intro.html,"Hey what's up guys this is Justin Bieber
And this is the BEST DJ in the world his name is DJ Tay James
He's kinda cool
You're now tuning in to the We Know The DJ Radio
Black rims
Black body
Bad girls, you should act naughty
Unless you're girl hang out in the lobby
If you're in my section baby girl you hear the party
VIP, you know it boy
Making millions in the show, yes you know it boy
Said this goes out to all the haters
I'm a young Tunchei ?
Oh my goodness (Why you wearing two rollies?)
I got time and I got money, and I got girls and it's not funny (no not funny)
C'mon bunny c'mon bunny (my bunny)



I open the door
Walk in the store
She sees it's me she says ""hello""
I say ""what's good?"" she says ""let's go""
So took her home, take it off
Black rims
Black body
Bad girls, you should act naughty
Oh, that's your girl? In my Ducatti?
If you're in my section baby girl you here to party
Left for dinner think that I would've left her
Yeah, you know I'm flyin' on the jet here
Mommy said remember don't forget dear
So I said it, ""everybody you the best here""
Black rims
Black body
Bad girls, you should get naughty
Oh, that's your girl? Had her in the lobby
If you're in my section girl you here to party"
12,Purpose (2015),All In It,https://lyrics.az/justin-bieber/purpose/all-in-it.html,"[Intro]
Don't do nothin' 'less your heart's in it
Heart's in it, heart's in it
Don't do nothin' 'less you're all in it
All in it, all in it
[Verse 1]
If you got a twenty for all of your tries
Twenty for all of the times
The times you got back up, woah
Could be a billionaire in a year
That's how you gotta think 'til you're there
On the regular
[Pre-Chorus]
If you had a diamond for all of your pa**ion
Diamond for your dedication
You could be icy like caking
Icy for every occasion
Gotta go hard, yeah
That's all I'm condoning
Love is a component
You’re the only opponent
Gotta seize the moment
[Chorus]
And don't do nothin' 'less your heart's in it
Heart's in it, heart's in it
Don't do nothin' 'less you're all in it
All in it, all in it
Come again each time
'Til the water runs dry
Oh don't do nothin' 'less you're all in it
All in it, all in it
[Post-Hook]
Oh, oh
Oh
Oh, oh, oh, oh
[Verse 2]
If I had a guitar missing 5 strings
A guitar with only one string
I could only play one song, ooh
A simple melody
Simple enough to make the world sing
Strong enough to make your mood swing
You know what I mean



[Pre-Chorus]
If you had a diamond for all of your pa**ion
Diamond for your dedication
You could be icy like caking
Icy for every occasion
Gotta go hard, yeah
That's all I'm condoning
Love is a component
You're the only opponent
Gotta seize the moment
[Chorus]
And don't do nothin' 'less your heart's in it
Heart's in it, heart's in it
Don't do nothin' 'less you're all in it
All in it, all in it
Come again each time
'Til the water runs dry
Don't do nothin' 'less you're all in it
All in it, all in it
[Post-Hook]
Oh, oh
Oh
Oh, oh, oh, oh
All in it, all in it
[Vamp]
See, growing up, I
I always felt like I had to be the best at everything
Cause I, I just didn't think I was good enough
And, and maybe if I was good at something that I'd get recognition from that but
I quickly found out that I wasn't gonna get the recognition that I wanted or that I needed because
Because people aren't perfect and by not being perfect you sometimes can disappoint people
And with God it's like he's perfect
And he never disappoints
So I just get my recognition from him
And give him recognition"
13,Purpose (2015),Been You,https://lyrics.az/justin-bieber/purpose/been-you.html,"[Verse 1]
Feeling the reminisce
Gone in an instance
Blink of an eye
No goodbye
I had a notion
Deep as the ocean
Blue like the sky
Oh my
[Pre-Chorus]
Like a permanent stain
Wishing I could just wash away, away
Hate our love was in vein
But we're the blame
For all the pain
For all the pain
[Chorus]
If I would have known
If I would have known
If I would have known
It could have been you
(Woah, woah, woah)
If I had the chance
If I had the chance
I'd make us brand new
I never wanted to be
Wanted to be
Your enemy, no, no
But if I
If I would have known
If I would have known
It could have been you
Been you
[Verse 2]
There repercussion
Of missing your loving
Haunts me at night
The ghosts are alive
All of the memories
Of serenity
Dwindle in my mind
All the time



[Pre-Chorus]
Like a permanent stain
Wishing I could just wash away, away
Hate our love was in vein
Who was to blame
For all the pain
For all the pain
[Chorus]
If I would have known
If I would have known
If I would have known
It could have been you
If I had a chance
If I had a chance
I'd make us brand new
I never wanted to be
Wanted to be
Your enemy, no, no
But if I
If I would have known
If I would have known
It could have been you
Been you
[Break]
[Chorus]
If I would have known
If I would have known
If I would have known
It could have been you
If I had a chance
If I had a chance
I'd make us brand new
I never wanted to be
Wanted to be
Your enemy, no, no
But if I
If I would have known
If I would have known
It could have been you
Been you"
14,Purpose (2015),Children,https://lyrics.az/justin-bieber/purpose/children.html,"[Verse]
What about the children?
Look at all the children we can change
What about a vision?
Be a visionary for a change
We're the generation
Who's gonna be the one to fight for it?
We're the inspiration
Do you believe enough to die for it?
[Chorus]
Who's got the heart? Who's got it?
Whose heart is the biggest?
Wear it on your sleeve
Bet we can make a difference
Who's got the heart? Who's got it?
Whose heart is the biggest?
Wear it on your sleeve
Bet we can make a difference
Oh yeah
Who's got the heart?
Oh yeah
[Verse]
What about the children?



Look at all the children we can change
What about a vision?
Be a visionary for a change
We're the generation
Who's gonna be the one to fight for it?
We're the inspiration
Do you believe enough to die for it?
[Chorus]
Who's got the heart? Who's got it?
Whose heart is the biggest?
Wear it on your sleeve
Bet we can make a difference
Who's got the heart? Who's got it?
Whose heart is the biggest?
Wear it on your sleeve
Bet we can make a difference
Bet we can make a difference
Oh yeah
Who's got the heart?
Oh yeah
Oh yeah
Oh yeah"
15,Purpose (2015),Company,https://lyrics.az/justin-bieber/purpose/company.html,"Can we, we keep, keep each other company
Maybe we, can be, be each other's company
Oh company
Let's set each other's lonely nights
Be each other's paradise
Need a picture for my frame
Someone to share my ring
Tell me what you wanna drink
I tell you what I got in mind
Oh I don't know your name
But I feel like that's gonna change
You ain't gotta be my lover for you to call me baby
Never been around no press, ain't that serious
Can we, we keep, keep each other company
Maybe we, can be, be each other's company
Oh company
It ain't about the complications
I'm all about the elevation



We can keep it goin' up
Oh, don't miss out on us
Just wanna have a conversation
Forget about the obligations
Maybe we can stay in touch
Oh that ain't doin' too much
You ain't gotta be my lover for you to call me baby
Never been around no press, ain't that serious no
Can we, we keep, keep each other company
Maybe we, can be, be each other's company
Oh company
Can be, can be, be each other's company
Be each other's company
Just be each other's company
Be each others company
Can we, we keep, keep each other company
Maybe we, can be, be each other's company
Oh company"
16,Purpose (2015),Get Used To It,https://lyrics.az/justin-bieber/purpose/get-used-to-it.html,"Subjected to my system, reflecting on the days
When we used to be just friends
Protected both our interests, our trust was in a bank
That's where our hearts were safe
And then we got closer
Separated from my ex 'til we got closure
Ooh, on every visit, feelings got stronger
Now this is out of our hands, our love is here to stay
So get used to me checking in all day
Get used to me falling through just to see your face
There ain't a moment I won't need your brace
Get used to me touching you, get used to me loving you
Oh get used to it, hey
Oh get used to it, hey
Oh get used to it, oh it
Oh used to me holding you, used to me wowing you, oh get used to it
And now my April shower you, forever and for me
'Til your flowers bloom in June
Make sure that our fireworks be your fourth of July for life
As long as you stand right by my side
Keep growing closer throughout October
Ooh counting down, it's almost Christmas eve
Oh seven days shy of a New Year's eve
Then we'll be celebrating
So get used to me checking in all day



Used to me falling through just to see your face
There ain't a moment I won't need your brace
Get used to me touching you, get used to me loving you
Oh get used to it, hey
Oh get used to it, hey
Oh get used to it, oh it
Oh used to be holding you, used to me wowing you, oh get used to it
I ain't goin' nowhere, I ain't going nowhere
Oh no
I ain't goin' nowhere, I ain't going nowhere
Oh no
Put your faith in me
I'll be all you need, I swear
Yeah yeah
I'm gonna be right here
Yeah
So get used to me checking in all day
Used to me falling through just to see your face
There ain't the moment I won't need your grace
Get used to me touching you, get used to me loving you
Oh get used to it, hey
Oh get used to it, hey
Oh get used to it, oh it
Oh used to be holding you, used to me wowing you, oh get used to it
You better get used to it
You better get used to it
Get used to it
You better get used to it
You better get used to it
Get used to it"
17,Purpose (2015),Get Used To Me,https://lyrics.az/justin-bieber/purpose/get-used-to-me.html,"[Verse 1]
Subjected to my system
Reflecting on the days
When we used to be just friends
Protected both our interest
Our trust was in a bank
That's where our hearts were safe
[Pre-Chorus]
And then we got closer
Separated from my ex
So we got closer
Oh, in every visit
Feelings got stronger
Now this is out our hands
Our love is here to stay
[Chorus]
So get used to me checking in
All day
Get used to me falling through
Just to see your face
There ain't a moment
I won't need your brace
Get used to me touching you
Get used to me loving you
Oh get used to it, eh
Oh get used to it, eh
Oh get used to it, oh and oh
Get used to me holding you
Get used to me woeing you
Oh get used to it
[Verse 2]
And I'm a April shower you
Forever if I May
'Til your flowers bloom in June
Make sure that our fireworks
Be your 4th of July
For life
As long as you stand right by my side
[Pre-Chorus]
Keep growing closer
Throughout October
Oh counting down, it's almost Christmas Eve
Oh seven days shy of New Year's Eve
Then we'll be celebrating
[Chorus]
So get used to me checking in



All day
Get used to me falling through
Just to see your face
There ain't a moment
I won't need your brace
Get used to me touching you
Get used to me loving you
Oh get used to it, eh
Oh get used to it, eh
Oh get used to it, oh and oh
Get used to me holding you
Get used to me woeing you
Oh get used to it
[Bridge]
I ain't going nowhere
I ain't going nowhere, oh no
I ain't going nowhere
I ain't going nowhere, oh no
Put your faith in me
I'll be all you need, I swear
Yeah yeah
I'm gonna be right here, yeah
[Chorus]
So get used to me checking in
All day
Get used to me falling through
Just to see your face
There ain't a moment
I won't need your brace
Get used to me touching you
Get used to me loving you
Oh get used to it, eh
Oh get used to it, eh
Oh get used to it, oh and oh
Get used to me holding you
Get used to me woeing you
Oh get used to it
[Vamp]
I know you getting used to it
I know you getting used to it
(Get used to it)
I know you getting used to it
I know you getting used to it
(Oh get used to it)"
18,Purpose (2015),Hit The Ground,https://lyrics.az/justin-bieber/purpose/hit-the-ground.html,"[Verse]
I close my eyes, I take it slow
Lay on down and let me rest my soul
I've been so high, I've been so low
I'm just tryna find my way back home
[Pre-Chorus]
Can't help but roam
My signal's gone
Guess this journey's left me on my own
I don't care why
I'm alone, alone, alone
[Chorus]
And if I could
Forget about the way you love me
Forget about the world we set in stone
I'm dreaming with my eyes wide open now
If only I could hit the ground
I never thought that I'd be broken
I never thought I'd be this far from home
I'm dreaming with my eyes wide open now
If only I could hit the ground
If only I could hit the ground
If only I could hit the ground
[Verse]
I close my eyes, I take it slow
Lay on down and let me rest my soul
I've been so high, I've been so low
I'm just tryna find my way back home
[Pre-Chorus]
Can't help but roam
My signal's gone
Guess this journey's left me on my own
I don't care why
I'm alone, alone, alone



[Chorus]
And if I could
Forget about the way you loved me
Forget about the world we set in stone
I'm dreaming with my eyes wide open now
If only I could hit the ground
I never thought that I'd be broken
I never thought I'd be this far from home
I'm dreaming with my eyes wide open now
If only I could hit the ground
If only I could hit the ground
If only I could hit the ground
[Bridge]
Take it one day at a time
Reach for the stars now
Ooh just leave the past behind
That's a part of living, woah
That's a part of living, woah, oh yeah
[Outro]
If only I could hit the ground
Yeah, eh, eh, eh, if only I could
If only I could hit the ground
If I could hit the ground, right now, I would
If only I could hit the ground
If I could hit the ground
Then I'd be falling down
Yeah, woah if only I could hit it
If only I could hit the ground
If I could hit the ground
Then I'd be touching down
If only I could hit the ground"
19,Purpose (2015),Home To Mama,https://lyrics.az/justin-bieber/purpose/home-to-mama.html,"feat Cody Simpson
[Cody Simpson: ]
I don't work hard when it's easy
I put in work when it's hard,
Girl, I never believed in love until I had yours
This is more than a season,
and I'm not just sprung
I'm not afraid to tell you
That you're THE ONE!
THE ONE I wake up thinking 'bout
THE ONE I can run to when I'm feeling down
Life feels so good when you're around
Girl, nobody from the past is beating you right now
'Cause I'll take you home to mama,
I'll let you meet my friends
'Cause you don't come with drama
So I want you 'till the world ends!
You're way more than worth it
But I don't feel like I deserve it
You got the pieces
You're my KIND OF PERFECT!
[Justin Bieber: ]
I don't work hard when it's easy



I put in work when it's hard,
Girl, I never believed in love until I had yours
This is more than a season,
and I'm not just sprung
I'm not afraid to tell you
That you're THE ONE!
THE ONE I wake up thinking 'bout
THE ONE I can run to when I'm feeling down
Life feels so good when you're around
Girl, nobody from the past is beating you right now
'Cause I'll take you home to mama,
I'll let you meet my friends
'Cause you don't come with drama
So I want you 'till the world ends!
You're way more than worth it
But I don't feel like I deserve it
You got the pieces
You're my KIND OF PERFECT!
Oooh oh oh
Oooh oh oh
Oooh oh oh
I take you home home home to mama."
20,Purpose (2015),I'll Show You,https://lyrics.az/justin-bieber/purpose/ill-show-you.html,"My life is a movie and everyone's watching
So let's get to the good part and past all the nonsense
Sometimes it's hard to do the right thing
When the pressure's coming down like lightning
It's like they want me to be perfect
When they don't even know that I'm hurting
'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
But there's one thing that I know for sure
I'll show you
I'll show you
I'll show you
I'll show you
I've got to learn things, learn them the hard way
Got to see what it feels like, no matter what they say
Sometimes it's hard to do the right thing



When the pressure's coming down like lightning
It's like they want me to be perfect
When they don't even know that I'm hurting
'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
But there's one thing that I know for sure
I'll show you
I'll show you
I'll show you
I'll show you
'Cause life's not easy, I'm not made out of steel
Don't forget that I'm human, don't forget that I'm real
Act like you know me, but you never will
But there's one thing that I know for sure
I'll show you
I'll show you"
